filename	language	ner_annotations
CARMEN-I_IR_1	es	False
CARMEN-I_IA_SEGUIMIENTO_1	es	True
CARMEN-I_IA_ANTECEDENTES_1	es	False
CARMEN-I_IR_2	bi	False
CARMEN-I_IR_3	bi	False
CARMEN-I_IR_4	bi	False
CARMEN-I_IR_5	es	False
CARMEN-I_IT_ANTECEDENTES_1	bi	False
CARMEN-I_IR_6	es	False
CARMEN-I_IA_PROCESO_ACTUAL_1	es	False
CARMEN-I_IA_RADIOGRAFIA_1	es	True
CARMEN-I_IA_ANTECEDENTES_2	es	True
CARMEN-I_IR_7	es	False
CARMEN-I_IA_ANTECEDENTES_3	bi	True
CARMEN-I_IA_EVOL_1	es	False
CARMEN-I_IR_8	es	False
CARMEN-I_IA_RADIOGRAFIA_2	es	True
CARMEN-I_IA_EVOL_2	es	True
CARMEN-I_IA_RADIOGRAFIA_3	es	True
CARMEN-I_IR_9	es	False
CARMEN-I_IA_PROCESO_ACTUAL_2	es	False
CARMEN-I_IR_10	es	False
CARMEN-I_IR_11	bi	False
CARMEN-I_IR_12	es	False
CARMEN-I_IR_13	bi	False
CARMEN-I_IR_14	es	False
CARMEN-I_IR_15	es	False
CARMEN-I_IR_16	es	False
CARMEN-I_IR_17	es	False
CARMEN-I_IA_EVOL_3	es	True
CARMEN-I_IR_18	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_1	es	False
CARMEN-I_IR_19	bi	False
CARMEN-I_IA_PROCESO_ACTUAL_3	es	False
CARMEN-I_IR_20	bi	False
CARMEN-I_IR_21	es	False
CARMEN-I_IA_PROCESO_ACTUAL_4	es	True
CARMEN-I_IR_22	bi	False
CARMEN-I_IR_23	es	False
CARMEN-I_IR_24	es	False
CARMEN-I_IR_25	es	False
CARMEN-I_IR_26	bi	False
CARMEN-I_IR_27	bi	False
CARMEN-I_IT_PROCESO_ACTUAL_1	es	False
CARMEN-I_IR_28	es	False
CARMEN-I_IR_29	es	False
CARMEN-I_IR_30	es	False
CARMEN-I_IR_31	bi	False
CARMEN-I_IR_32	es	False
CARMEN-I_IA_RADIOGRAFIA_4	es	True
CARMEN-I_IR_33	es	False
CARMEN-I_IA_ANTECEDENTES_4	es	True
CARMEN-I_IR_34	bi	False
CARMEN-I_IR_35	es	False
CARMEN-I_IR_36	es	False
CARMEN-I_IA_RADIOGRAFIA_5	es	True
CARMEN-I_IT_PROCESO_ACTUAL_2	es	False
CARMEN-I_IR_37	es	False
CARMEN-I_IR_38	es	False
CARMEN-I_IR_39	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_1	bi	True
CARMEN-I_IR_40	es	False
CARMEN-I_IR_41	bi	False
CARMEN-I_IR_42	es	False
CARMEN-I_IA_EXPLORACION_CLINICA_1	es	False
CARMEN-I_IR_43	bi	False
CARMEN-I_IA_INTERVENCION_QUIRURGICA_1	es	True
CARMEN-I_IR_44	es	False
CARMEN-I_IR_45	es	False
CARMEN-I_IR_46	es	False
CARMEN-I_IA_EVOL_4	es	True
CARMEN-I_IR_47	es	False
CARMEN-I_IR_48	bi	False
CARMEN-I_IR_49	es	False
CARMEN-I_IR_50	es	False
CARMEN-I_IR_51	es	False
CARMEN-I_IA_SEGUIMIENTO_2	es	False
CARMEN-I_IR_52	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_2	es	False
CARMEN-I_IA_EVOL_5	es	True
CARMEN-I_IA_PROCESO_ACTUAL_5	es	True
CARMEN-I_IA_EVOL_6	es	True
CARMEN-I_IR_53	es	False
CARMEN-I_IR_54	es	False
CARMEN-I_IA_EVOL_7	es	True
CARMEN-I_IT_EVOL_1	es	True
CARMEN-I_IA_EXPLORACION_CLINICA_2	es	True
CARMEN-I_IR_55	es	False
CARMEN-I_IR_56	es	False
CARMEN-I_IR_57	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_3	cat	False
CARMEN-I_IA_PROCESO_ACTUAL_6	es	True
CARMEN-I_IA_EVOL_8	es	True
CARMEN-I_IA_ANTECEDENTES_5	es	True
CARMEN-I_IR_58	es	False
CARMEN-I_IA_SEGUIMIENTO_3	es	True
CARMEN-I_IA_ANTECEDENTES_6	es	False
CARMEN-I_IE_1	es	True
CARMEN-I_IR_59	bi	False
CARMEN-I_IA_EVOL_9	es	True
CARMEN-I_IR_60	es	False
CARMEN-I_IR_61	es	False
CARMEN-I_IA_ANTECEDENTES_7	es	True
CARMEN-I_IR_62	es	False
CARMEN-I_IR_63	es	False
CARMEN-I_IA_EVOL_10	es	True
CARMEN-I_IR_64	bi	False
CARMEN-I_IR_65	es	False
CARMEN-I_IR_66	es	False
CARMEN-I_IR_67	es	False
CARMEN-I_IA_PROCESO_ACTUAL_7	es	False
CARMEN-I_IR_68	es	False
CARMEN-I_IR_69	es	False
CARMEN-I_IR_70	es	False
CARMEN-I_IR_71	es	False
CARMEN-I_IR_72	es	False
CARMEN-I_IA_EVOL_11	es	False
CARMEN-I_IR_73	es	False
CARMEN-I_IR_74	es	False
CARMEN-I_IR_75	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_2	bi	True
CARMEN-I_IR_76	es	False
CARMEN-I_IR_77	es	False
CARMEN-I_IR_78	es	False
CARMEN-I_IA_EVOL_12	es	False
CARMEN-I_IA_PROCESO_ACTUAL_8	es	False
CARMEN-I_IR_79	es	False
CARMEN-I_IR_80	es	False
CARMEN-I_IR_81	es	False
CARMEN-I_IA_RADIOGRAFIA_6	es	True
CARMEN-I_IR_82	es	False
CARMEN-I_IA_EVOL_13	es	True
CARMEN-I_IR_83	es	False
CARMEN-I_IR_84	es	False
CARMEN-I_IA_ANTECEDENTES_8	es	True
CARMEN-I_IR_85	es	False
CARMEN-I_IR_86	es	False
CARMEN-I_IR_87	es	False
CARMEN-I_IR_88	es	False
CARMEN-I_IR_89	es	False
CARMEN-I_IR_90	cat	False
CARMEN-I_IR_91	es	False
CARMEN-I_IR_92	bi	False
CARMEN-I_IR_93	bi	False
CARMEN-I_IA_SEGUIMIENTO_4	es	True
CARMEN-I_IR_94	es	False
CARMEN-I_IA_PROCESO_ACTUAL_9	es	False
CARMEN-I_IR_95	es	False
CARMEN-I_IR_96	bi	False
CARMEN-I_IA_ANTECEDENTES_9	es	True
CARMEN-I_IA_INTERVENCION_QUIRURGICA_2	es	True
CARMEN-I_IR_97	es	False
CARMEN-I_IA_PROCESO_ACTUAL_10	es	False
CARMEN-I_IR_98	es	False
CARMEN-I_IR_99	bi	False
CARMEN-I_IR_100	es	False
CARMEN-I_IA_EVOL_14	es	True
CARMEN-I_IR_101	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_4	es	False
CARMEN-I_IR_102	es	False
CARMEN-I_IR_103	es	False
CARMEN-I_IR_104	es	False
CARMEN-I_IR_105	es	False
CARMEN-I_IA_PLAN_TERAPEUTICO_1	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_3	es	True
CARMEN-I_IA_ANTECEDENTES_10	es	True
CARMEN-I_IR_106	es	False
CARMEN-I_IR_107	es	False
CARMEN-I_IA_RADIOGRAFIA_7	es	True
CARMEN-I_IA_EVOL_15	es	True
CARMEN-I_IR_108	es	False
CARMEN-I_IR_109	es	False
CARMEN-I_IR_110	bi	False
CARMEN-I_IA_PROCESO_ACTUAL_11	es	True
CARMEN-I_IR_111	es	False
CARMEN-I_IT_PROCESO_ACTUAL_3	es	False
CARMEN-I_IR_112	bi	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_4	bi	True
CARMEN-I_IR_113	es	False
CARMEN-I_IR_114	bi	False
CARMEN-I_IR_115	es	False
CARMEN-I_IA_RADIOGRAFIA_8	bi	True
CARMEN-I_IR_116	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_5	es	True
CARMEN-I_IR_117	es	False
CARMEN-I_IR_118	bi	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_6	bi	True
CARMEN-I_IR_119	es	False
CARMEN-I_IA_EVOL_16	es	True
CARMEN-I_IA_EVOL_17	es	True
CARMEN-I_IR_120	bi	False
CARMEN-I_IA_PROCESO_ACTUAL_12	es	False
CARMEN-I_IR_121	cat	False
CARMEN-I_IR_122	es	False
CARMEN-I_IA_EVOL_18	es	True
CARMEN-I_IR_123	es	False
CARMEN-I_IR_124	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_5	es	True
CARMEN-I_IR_125	es	False
CARMEN-I_IT_INTERVENCION_QUIRURGICA_1	es	False
CARMEN-I_IR_126	es	False
CARMEN-I_IR_127	bi	False
CARMEN-I_IR_128	es	False
CARMEN-I_IA_RADIOGRAFIA_9	bi	True
CARMEN-I_IA_ANTECEDENTES_11	es	False
CARMEN-I_IR_129	es	False
CARMEN-I_IR_130	bi	False
CARMEN-I_IR_131	es	False
CARMEN-I_IA_ANTECEDENTES_12	es	True
CARMEN-I_IR_132	es	False
CARMEN-I_IA_ANTECEDENTES_13	es	False
CARMEN-I_IA_PROCESO_ACTUAL_13	es	True
CARMEN-I_IR_133	es	False
CARMEN-I_IA_EXPLORACION_CLINICA_3	es	True
CARMEN-I_IR_134	es	False
CARMEN-I_IR_135	es	False
CARMEN-I_IA_ANTECEDENTES_14	es	False
CARMEN-I_IR_136	es	False
CARMEN-I_IR_137	bi	False
CARMEN-I_IA_SEGUIMIENTO_5	es	False
CARMEN-I_IR_138	es	False
CARMEN-I_IA_ANTECEDENTES_15	es	True
CARMEN-I_IR_139	es	False
CARMEN-I_IA_PLAN_TERAPEUTICO_2	es	True
CARMEN-I_IA_PROCESO_ACTUAL_14	es	True
CARMEN-I_IR_140	es	False
CARMEN-I_IA_ANTECEDENTES_16	es	True
CARMEN-I_IA_SEGUIMIENTO_6	es	True
CARMEN-I_IR_141	es	False
CARMEN-I_IR_142	es	False
CARMEN-I_IR_143	es	False
CARMEN-I_IR_144	bi	False
CARMEN-I_IA_PROCESO_ACTUAL_15	es	True
CARMEN-I_IA_ANTECEDENTES_17	es	True
CARMEN-I_IA_EVOL_19	es	False
CARMEN-I_IR_145	es	False
CARMEN-I_IR_146	bi	False
CARMEN-I_IR_147	es	False
CARMEN-I_IA_ANTECEDENTES_18	es	True
CARMEN-I_IR_148	es	False
CARMEN-I_IA_ANTECEDENTES_19	es	False
CARMEN-I_IR_149	es	False
CARMEN-I_IR_150	bi	False
CARMEN-I_IR_151	es	False
CARMEN-I_IR_152	es	False
CARMEN-I_IR_153	es	False
CARMEN-I_IR_154	es	False
CARMEN-I_IA_EVOL_20	es	True
CARMEN-I_IR_155	es	False
CARMEN-I_IR_156	es	False
CARMEN-I_IR_157	bi	False
CARMEN-I_IA_RADIOGRAFIA_10	es	True
CARMEN-I_IR_158	es	False
CARMEN-I_IR_159	es	False
CARMEN-I_IA_SEGUIMIENTO_7	es	False
CARMEN-I_IR_160	es	False
CARMEN-I_IR_161	es	False
CARMEN-I_IR_162	es	False
CARMEN-I_IR_163	es	False
CARMEN-I_IR_164	es	False
CARMEN-I_IA_PROCESO_ACTUAL_16	es	False
CARMEN-I_IR_165	es	False
CARMEN-I_IA_EVOL_21	es	True
CARMEN-I_IA_RADIOGRAFIA_11	es	True
CARMEN-I_IA_RADIOGRAFIA_12	es	True
CARMEN-I_IA_ANTECEDENTES_20	es	True
CARMEN-I_IR_166	es	False
CARMEN-I_IR_167	es	False
CARMEN-I_IR_168	es	False
CARMEN-I_IA_SEGUIMIENTO_8	es	False
CARMEN-I_IR_169	es	False
CARMEN-I_IR_170	es	False
CARMEN-I_IR_171	es	False
CARMEN-I_IR_172	es	False
CARMEN-I_IR_173	es	False
CARMEN-I_IA_PROCESO_ACTUAL_17	es	True
CARMEN-I_IT_PROCESO_ACTUAL_4	es	False
CARMEN-I_IR_174	es	False
CARMEN-I_IR_175	es	False
CARMEN-I_IA_PLAN_TERAPEUTICO_3	es	True
CARMEN-I_IA_ANTECEDENTES_21	es	True
CARMEN-I_IA_SEGUIMIENTO_9	es	False
CARMEN-I_IR_176	es	False
CARMEN-I_IR_177	es	False
CARMEN-I_IR_178	es	False
CARMEN-I_IR_179	bi	False
CARMEN-I_IA_ANTECEDENTES_22	es	True
CARMEN-I_IR_180	es	False
CARMEN-I_IR_181	es	False
CARMEN-I_IR_182	bi	False
CARMEN-I_IR_183	es	False
CARMEN-I_IR_184	es	False
CARMEN-I_IR_185	es	False
CARMEN-I_IT_PROCESO_ACTUAL_5	es	False
CARMEN-I_IR_186	bi	False
CARMEN-I_IA_EXPLORACION_CLINICA_4	es	True
CARMEN-I_IR_187	es	False
CARMEN-I_IR_188	bi	False
CARMEN-I_IR_189	es	False
CARMEN-I_IR_190	es	False
CARMEN-I_IR_191	es	False
CARMEN-I_IR_192	es	False
CARMEN-I_IR_193	cat	False
CARMEN-I_IA_EVOL_22	es	True
CARMEN-I_IA_EVOL_23	bi	True
CARMEN-I_IA_ANTECEDENTES_23	es	False
CARMEN-I_IR_194	es	False
CARMEN-I_IT_PROCESO_ACTUAL_6	es	False
CARMEN-I_IR_195	es	False
CARMEN-I_IR_196	es	False
CARMEN-I_IR_197	es	False
CARMEN-I_IA_EVOL_24	es	True
CARMEN-I_IR_198	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_7	bi	True
CARMEN-I_IT_PROCESO_ACTUAL_7	es	False
CARMEN-I_IR_199	es	False
CARMEN-I_IR_200	es	False
CARMEN-I_IA_PROCESO_ACTUAL_18	es	True
CARMEN-I_IR_201	es	False
CARMEN-I_IA_RADIOGRAFIA_13	bi	True
CARMEN-I_IR_202	bi	False
CARMEN-I_IR_203	bi	False
CARMEN-I_IR_204	es	False
CARMEN-I_IR_205	cat	False
CARMEN-I_IR_206	bi	False
CARMEN-I_IR_207	es	False
CARMEN-I_IR_208	es	False
CARMEN-I_IR_209	es	False
CARMEN-I_IR_210	es	False
CARMEN-I_IT_ANTECEDENTES_2	bi	False
CARMEN-I_IA_SEGUIMIENTO_10	es	True
CARMEN-I_IA_ANTECEDENTES_24	es	True
CARMEN-I_IT_PROCESO_ACTUAL_8	cat	False
CARMEN-I_IR_211	es	False
CARMEN-I_IR_212	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_8	es	True
CARMEN-I_IR_213	es	False
CARMEN-I_IR_214	es	False
CARMEN-I_IR_215	bi	False
CARMEN-I_IA_PROCESO_ACTUAL_19	es	True
CARMEN-I_IT_ANTECEDENTES_3	es	False
CARMEN-I_IR_216	es	False
CARMEN-I_IA_INTERVENCION_QUIRURGICA_3	es	True
CARMEN-I_CC_1	es	True
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_9	es	True
CARMEN-I_IR_217	es	False
CARMEN-I_IT_ANTECEDENTES_4	es	False
CARMEN-I_IR_218	bi	False
CARMEN-I_IR_219	es	False
CARMEN-I_IA_SEGUIMIENTO_11	es	False
CARMEN-I_IR_220	es	False
CARMEN-I_IT_INTERVENCION_QUIRURGICA_2	es	False
CARMEN-I_IA_EVOL_25	es	True
CARMEN-I_IR_221	bi	False
CARMEN-I_IR_222	es	False
CARMEN-I_IA_EVOL_26	es	False
CARMEN-I_IR_223	bi	False
CARMEN-I_IR_224	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_6	es	False
CARMEN-I_IA_EVOL_27	es	True
CARMEN-I_IR_225	es	False
CARMEN-I_IA_EXPLORACION_CLINICA_5	es	True
CARMEN-I_IT_EVOL_2	es	True
CARMEN-I_IR_226	es	False
CARMEN-I_IR_227	es	False
CARMEN-I_IR_228	es	False
CARMEN-I_CC_2	bi	True
CARMEN-I_IT_ANTECEDENTES_5	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_7	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_8	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_9	es	False
CARMEN-I_IR_229	es	False
CARMEN-I_IR_230	es	False
CARMEN-I_IR_231	bi	False
CARMEN-I_IA_EVOL_28	es	True
CARMEN-I_IR_232	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_10	bi	True
CARMEN-I_IR_233	es	False
CARMEN-I_IR_234	es	False
CARMEN-I_IR_235	bi	False
CARMEN-I_IA_EVOL_29	es	True
CARMEN-I_IR_236	es	False
CARMEN-I_IA_EVOL_30	es	True
CARMEN-I_IA_EVOL_31	es	True
CARMEN-I_IT_EXPLORACION_CLINICA_10	es	False
CARMEN-I_IR_237	bi	False
CARMEN-I_IR_238	bi	False
CARMEN-I_IT_ANTECEDENTES_6	es	False
CARMEN-I_IT_EVOL_3	es	True
CARMEN-I_IR_239	bi	False
CARMEN-I_IT_EXPLORACION_CLINICA_11	es	False
CARMEN-I_IR_240	es	False
CARMEN-I_IA_SEGUIMIENTO_12	es	False
CARMEN-I_IR_241	es	False
CARMEN-I_IR_242	es	False
CARMEN-I_IR_243	es	False
CARMEN-I_IT_INTERVENCION_QUIRURGICA_3	es	False
CARMEN-I_IR_244	es	False
CARMEN-I_IR_245	bi	False
CARMEN-I_IR_246	es	False
CARMEN-I_IR_247	bi	False
CARMEN-I_IT_PROCESO_ACTUAL_9	es	False
CARMEN-I_IT_ANTECEDENTES_7	es	False
CARMEN-I_IA_EVOL_32	es	True
CARMEN-I_IR_248	bi	False
CARMEN-I_IR_249	es	False
CARMEN-I_IA_EVOL_33	es	False
CARMEN-I_IA_PROCESO_ACTUAL_20	es	False
CARMEN-I_IA_SEGUIMIENTO_13	es	True
CARMEN-I_IA_EVOL_34	es	True
CARMEN-I_IA_ANTECEDENTES_25	es	False
CARMEN-I_IA_EVOL_35	es	False
CARMEN-I_IT_PROCESO_ACTUAL_10	es	False
CARMEN-I_IA_ANTECEDENTES_26	es	True
CARMEN-I_IR_250	es	False
CARMEN-I_IR_251	es	False
CARMEN-I_IR_252	es	False
CARMEN-I_IR_253	bi	False
CARMEN-I_IR_254	es	False
CARMEN-I_IT_ANTECEDENTES_8	es	True
CARMEN-I_IR_255	es	False
CARMEN-I_IR_256	es	False
CARMEN-I_IR_257	es	False
CARMEN-I_IA_RADIOGRAFIA_14	es	True
CARMEN-I_IR_258	es	False
CARMEN-I_IT_PROCESO_ACTUAL_11	es	False
CARMEN-I_IA_EVOL_36	es	True
CARMEN-I_IA_ANTECEDENTES_27	es	True
CARMEN-I_IA_EXPLORACION_CLINICA_6	es	True
CARMEN-I_IT_PROCESO_ACTUAL_12	es	False
CARMEN-I_IR_259	es	False
CARMEN-I_IA_ANTECEDENTES_28	es	True
CARMEN-I_IR_260	es	False
CARMEN-I_IR_261	es	False
CARMEN-I_IR_262	es	False
CARMEN-I_IR_263	bi	False
CARMEN-I_IR_264	es	False
CARMEN-I_IR_265	bi	False
CARMEN-I_IR_266	es	False
CARMEN-I_IR_267	es	False
CARMEN-I_IR_268	es	False
CARMEN-I_IR_269	es	False
CARMEN-I_IR_270	es	False
CARMEN-I_IR_271	es	False
CARMEN-I_IR_272	es	False
CARMEN-I_IR_273	es	False
CARMEN-I_IR_274	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_11	cat	True
CARMEN-I_IA_INTERVENCION_QUIRURGICA_4	es	True
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_12	bi	True
CARMEN-I_IR_275	es	False
CARMEN-I_IA_ANTECEDENTES_29	es	True
CARMEN-I_IR_276	es	False
CARMEN-I_IR_277	es	False
CARMEN-I_IR_278	es	False
CARMEN-I_IR_279	bi	False
CARMEN-I_IR_280	es	False
CARMEN-I_IR_281	es	False
CARMEN-I_IR_282	es	False
CARMEN-I_IR_283	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_12	es	False
CARMEN-I_IR_284	bi	False
CARMEN-I_IR_285	es	False
CARMEN-I_IR_286	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_13	cat	True
CARMEN-I_IR_287	bi	False
CARMEN-I_IA_ANTECEDENTES_30	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_14	cat	False
CARMEN-I_IR_288	es	False
CARMEN-I_IR_289	es	False
CARMEN-I_IR_290	cat	False
CARMEN-I_IR_291	es	False
CARMEN-I_IA_EXPLORACION_CLINICA_7	es	True
CARMEN-I_IR_292	es	False
CARMEN-I_IA_PROCESO_ACTUAL_21	es	True
CARMEN-I_IR_293	es	False
CARMEN-I_IR_294	es	False
CARMEN-I_IR_295	es	False
CARMEN-I_IR_296	es	False
CARMEN-I_IA_PROCESO_ACTUAL_22	es	False
CARMEN-I_IR_297	es	False
CARMEN-I_IR_298	es	False
CARMEN-I_IA_EVOL_37	es	True
CARMEN-I_IA_EXPLORACION_CLINICA_8	es	True
CARMEN-I_IR_299	es	False
CARMEN-I_IR_300	es	False
CARMEN-I_IR_301	es	False
CARMEN-I_IR_302	es	False
CARMEN-I_IR_303	es	False
CARMEN-I_IR_304	bi	False
CARMEN-I_IR_305	es	False
CARMEN-I_IA_EVOL_38	es	True
CARMEN-I_IR_306	es	False
CARMEN-I_IA_PROCESO_ACTUAL_23	es	True
CARMEN-I_IR_307	es	False
CARMEN-I_IR_308	es	False
CARMEN-I_IR_309	es	False
CARMEN-I_IR_310	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_15	es	True
CARMEN-I_IT_INTERVENCION_QUIRURGICA_4	es	False
CARMEN-I_IR_311	es	False
CARMEN-I_IT_PROCESO_ACTUAL_13	es	False
CARMEN-I_IR_312	es	False
CARMEN-I_IR_313	bi	False
CARMEN-I_IR_314	es	False
CARMEN-I_IA_ANTECEDENTES_31	es	True
CARMEN-I_IT_PROCESO_ACTUAL_14	es	False
CARMEN-I_IA_RADIOGRAFIA_15	es	True
CARMEN-I_IA_PROCESO_ACTUAL_24	es	False
CARMEN-I_IR_315	es	False
CARMEN-I_IA_SEGUIMIENTO_14	es	False
